ObjectID,FacilityID,FacilityRank,Name,IncidentCurbApproach,FacilityCurbApproach,IncidentID,Total_Length
332,18,37,Location 18 - Location 6,1,1,6,92543.433717503983644
333,25,38,Location 25 - Location 6,1,2,6,119642.549555601581233
334,23,39,Location 23 - Location 6,1,1,6,119677.695776218330138
335,24,40,Location 24 - Location 6,1,1,6,119677.695776218330138
336,26,41,Location 26 - Location 6,1,1,6,119726.530296697979793
337,20,42,Location 20 - Location 6,1,2,6,120859.965377500688192
338,1,43,Location 1 - Location 6,1,2,6,126358.978167392604519
339,21,44,Location 21 - Location 6,1,2,6,133420.067104427638697
340,22,45,Location 22 - Location 6,1,2,6,133420.067104427638697
341,12,46,Location 12 - Location 6,1,2,6,151529.778745989693562
342,13,47,Location 13 - Location 6,1,2,6,151544.349166472966317
343,11,48,Location 11 - Location 6,1,2,6,158868.272904916782863
344,9,49,Location 9 - Location 6,1,1,6,158873.971897701441776
345,10,50,Location 10 - Location 6,1,1,6,158873.971897701441776
346,30,51,Location 30 - Location 6,1,2,6,207176.829965105978772
347,62,52,Location 62 - Location 6,1,1,6,286788.861307465995196
348,33,53,Location 33 - Location 6,1,1,6,290528.856078354408965
349,37,54,Location 37 - Location 6,1,1,6,292353.142961674428079
350,34,55,Location 34 - Location 6,1,1,6,292482.105661194713321
351,35,56,Location 35 - Location 6,1,1,6,292482.105661194713321
352,36,57,Location 36 - Location 6,1,1,6,292482.105661194713321
353,38,58,Location 38 - Location 6,1,1,6,305099.779510440304875
354,61,59,Location 61 - Location 6,1,1,6,305486.355470419744961
355,7,1,Location 7 - Location 7,2,2,7,0.000000000000000
356,8,2,Location 8 - Location 7,2,2,7,75.988569136296746
357,57,3,Location 57 - Location 7,2,2,7,810.915995323260404
358,43,4,Location 43 - Location 7,1,2,7,2304.192964132400448
359,17,5,Location 17 - Location 7,1,1,7,15985.035197813713239
360,18,6,Location 18 - Location 7,1,1,7,15985.035197813713239
361,41,7,Location 41 - Location 7,2,1,7,42611.985475547233364
362,39,8,Location 39 - Location 7,2,1,7,42658.055997914379986
363,40,9,Location 40 - Location 7,2,1,7,42658.055997914379986
364,25,10,Location 25 - Location 7,1,2,7,43084.151035911287181
365,23,11,Location 23 - Location 7,1,1,7,43119.297256528043363
366,24,12,Location 24 - Location 7,1,1,7,43119.297256528043363
367,26,13,Location 26 - Location 7,1,1,7,43168.131777007678465
368,42,14,Location 42 - Location 7,2,1,7,43320.682463781558909
369,20,15,Location 20 - Location 7,1,2,7,44301.566857810386864
370,31,16,Location 31 - Location 7,2,1,7,47230.640794626007846
371,32,17,Location 32 - Location 7,2,1,7,47231.508789299798082
372,1,18,Location 1 - Location 7,1,2,7,49800.579647702303191
373,46,19,Location 46 - Location 7,2,1,7,56821.948449753734167
374,47,20,Location 47 - Location 7,2,1,7,56821.948449753734167
375,48,21,Location 48 - Location 7,2,1,7,56821.948449753734167
376,21,22,Location 21 - Location 7,1,2,7,56861.668584737330093
377,22,23,Location 22 - Location 7,1,2,7,56861.668584737330093
378,27,24,Location 27 - Location 7,2,1,7,68723.265002835265477
379,28,25,Location 28 - Location 7,2,1,7,72130.534938731507282
380,29,26,Location 29 - Location 7,2,1,7,72130.534938731507282
381,12,27,Location 12 - Location 7,1,2,7,74971.380226299399510
382,13,28,Location 13 - Location 7,1,2,7,74985.950646782657714
383,53,29,Location 53 - Location 7,2,1,7,76011.352193462211289
384,52,30,Location 52 - Location 7,2,2,7,76012.954535603697877
385,54,31,Location 54 - Location 7,2,1,7,76019.283767033848562
386,2,32,Location 2 - Location 7,2,1,7,76231.844381067203358
387,3,33,Location 3 - Location 7,2,1,7,76253.331583262959612
388,4,34,Location 4 - Location 7,2,2,7,76300.231325040062075
389,5,35,Location 5 - Location 7,2,2,7,76452.343337550206343
390,6,36,Location 6 - Location 7,2,2,7,76558.398519690250396
391,11,37,Location 11 - Location 7,1,2,7,82309.874385226474260
392,9,38,Location 9 - Location 7,1,1,7,82315.573378011133173
393,10,39,Location 10 - Location 7,1,1,7,82315.573378011133173
394,44,40,Location 44 - Location 7,2,1,7,91046.756194302681251
395,45,41,Location 45 - Location 7,2,1,7,91046.756194302681251
396,58,42,Location 58 - Location 7,2,1,7,99476.054787717730505
397,59,43,Location 59 - Location 7,2,1,7,99476.054787717730505
398,60,44,Location 60 - Location 7,2,1,7,99476.054787717730505
399,19,45,Location 19 - Location 7,2,2,7,99557.887310520061874
400,15,46,Location 15 - Location 7,2,2,7,102589.563221511838492
401,16,47,Location 16 - Location 7,2,2,7,102604.130949025638984
402,14,48,Location 14 - Location 7,2,2,7,102634.555091444184654
403,55,49,Location 55 - Location 7,2,2,7,104620.036078206481761
404,56,50,Location 56 - Location 7,2,1,7,117557.994659774834872
405,30,51,Location 30 - Location 7,1,2,7,130618.431445415553753
