date	site	us_ds	uniqueID	biotite_ID	fork	time	temp	mbars	pH	do_perL	do_mgL	cond_ms	alk	alk_conv	depth_cm	flow_depth_dft	dist_cob	mean_vX	canopy_cover_percent	biotite_acronym	TDP_ugL	NH4_ugL	NO3_ugL	DOC_ugL	TDN_ugL	NP
2017-07-31	bear	us	bear_us	NA	cr	13:10:00	18	1011.7	7.85	98.6	9.4	0.21	205	82	5	0.4	18.5	0.656	79.56	BER	21.49370202	4.1633231164191	5.7958758557901	856.723231	39.638961	4.07819792599879
2017-07-31	bear	ds	bear_ds	PH2017_17_BER_D_A	cr	13:10:00	18	1011.7	7.85	98.6	9.4	0.21	205	82	5	0.5	NA	0.574	85.28	BER	21.49370202	4.1633231164191	5.7958758557901	856.723231	39.638961	4.07819792599879
2017-07-19	ced_con	one	ced_con_one	PH2017_05_CCC_O_A	cr	16:35:00	18.5	988.6	8.34	104.1	9.57	0.22	260	104	16.5	0.6	NA	0.20875	0	CCC	4.922717254	2.6260961254056	25.4339483146128	450.28114300000004	42.16016700000001	18.93889739944833
2017-08-13	dobbynAP	us	dobbynAP_us	PH2017_24_DOB_U_A	cr	11:30:00	23	750.3	8.3	104.5	8.91	0.23	250	100	2	0.3	NA	0.575	57.980000000000004	DOB	10.52564563	8.3906973592146	7.217245419271199	763.520199	50.704254000000006	10.652533625151126
2017-08-13	dobbynAP	ds	dobbynAP_ds	PH2017_25_DOB_D_A	cr	11:30:00	23	750.3	8.3	104.5	8.91	0.23	250	100	4	0.4	NA	0.289	24.18	DOB	10.52564563	8.3906973592146	7.217245419271199	763.520199	50.704254000000006	10.652533625151126
2017-07-19	elder	one	elder_one	PH2017_03_ELD_O_A	cr	12:10:00	15.4	968.9	7.99	102.2	9.81	0.13	140	56	15.5	8.5	NA	0.2915	64.22	ELD	24.02534608	1.7550008234946002	9.5065275702357	491.23762999999997	28.993869	2.668663285286586
2017-07-19	fox	one	fox_one	PH2017_02_FOX_O_A	cr	10:30:00	15.1	970.1	7.82	96.5	9.31	0.16	185	74	3	0.3	NA	0.122	93.08	FOX	25.99563606	2.4467529659490004	14.450476629225601	563.061616	42.020100000000006	3.574488417422474
2017-07-31	jordan	us	jordan_us	PH2017_15_JOR_U_A	cr	10:45:00	15.4	1012.6	8.01	102.2	10.27	0.25	229	91.6	2	0.3	30	0.25	52.260000000000005	JOR	15.26169598	3.2153664684591003	4.747098322915201	920.980476	33.896214	4.911403955250326
2017-07-31	jordan	ds	jordan_ds	PH2017_16_JOR_D_A	cr	10:45:00	15.4	1012.6	8.01	102.2	10.27	0.25	229	91.6	3	0.7	NA	0.31	28.6	JOR	15.26169598	3.2153664684591003	4.747098322915201	920.980476	33.896214	4.911403955250326
2017-07-30	larabee	us	larabee_us	PH2017_13_LAR_U_A	cr	16:00:00	27	1012.3	8.67	22.5	9.79	0.22	250	100	8.5	0.5	12.5	0.47950000000000004	0	LAR	7.449596568	3.8814981715683	3.380927581377	893.475973	50.42412	14.967967591557235
2017-07-30	larabee	ds	larabee_ds	PH2017_14_LAR_D_A	cr	16:00:00	27	1012.3	8.67	22.5	9.79	0.22	250	100	8.5	0.5	NA	0.3815	0	LAR	7.449596568	3.8814981715683	3.380927581377	893.475973	50.42412	14.967967591557235
2017-07-31	lillarabee	one	lillarabee_one	PH2017_18_LLB_O_A	cr	16:10:00	21	992.2	8.17	101	8.84	0.23	239	95.6	4.5	0.1	NA	0.21	61.88	LLB	11.87358154	4.8038343661764005	9.307900644534	1299.55774	60.789078	11.32142458845657
2017-08-14	mfusgs	us	mfusgs_us	PH2017_28_MFU_U_A	mf	11:25:00	22.7	720.1	8.35	109.1	8.9	0.33	266	106.4	7	0.5	NA	0.222	1.56	MFU	7.514065834	1.9343439689445	7.534638613927799	800.1528339999999	48.463182	14.262451829351381
